sigle;credits;obligatoire;laboratoire;libre
BCL102;3;1;0;1
BCM112;2;1;0;1
BOT106;3;1;0;1
COR200;2;1;0;1
ECL110;3;1;0;1
ECL115;1;1;1;1
ECL116;1;1;0;1
GBI105;2;0;0;1
MCB100;3;1;0;1
BCM104;1;1;0;1
BCM113;1;1;1;1
BIO101;3;1;1;1
BIO109;1;1;0;1
ECL117;2;1;1;1
MCB101;1;1;1;1
TSB303;2;1;0;1
ZOO105;1;1;1;1
ZOO106;3;1;0;1
ZOO306;1;1;0;1
ZOO307;1;1;1;1
BIO300;3;1;0;1
ECL307;1;1;1;1
ECL510;3;1;0;1
ECL516;3;1;0;1
ECL527;2;1;1;1
GNT302;3;1;0;1
BOT512;3;1;1;1
ECL215;3;1;1;1
ECL403;1;1;1;1
ECL404;3;1;0;1
ECL406;1;1;0;1
ECL515;2;1;1;1
ECL615;1;1;0;1
ENT102;2;0;0;1
PSL105;3;1;0;1
ECL535;1;0;1;1
BIO500;2;1;0;1
BOT400;1;1;0;1
ECL216;2;1;1;1
ECL603;1;0;1;1
ECL604;2;1;0;1
ECL610;2;1;0;1
ECL617;2;0;1;1
ZOO304;3;0;0;1
ECL606;3;0;0;1
